PROVIDER_ID,SPECIALTY,CLINIC_ID,CLINIC_ASSIGNMENT
PR00017,Orthopedics,C003,Full-time
PR00098,Oncology,C007,Full-time
PR00052,Orthopedics,C003,Full-time
PR00133,Dermatology,C005,Part-time
PR00003,Psychiatry,C012,Full-time
PR00071,Dentistry,C004,Full-time
PR00086,Oncology,C007,Full-time
PR00099,Cardiology,C002,Rotating
PR00004,Urology,C011,Full-time
PR00094,Oncology,C007,Rotating
PR00103,Dermatology,C005,Rotating
PR00128,Urology,C011,Part-time
PR00178,Cardiology,C002,Part-time
PR00174,Dermatology,C005,Full-time
PR00056,Orthopedics,C003,Part-time
PR00040,Otolaryngology,C008,Part-time
PR00196,Gastroenterology,C009,Rotating
PR00136,Oncology,C007,Part-time
PR00107,Orthopedics,C003,Full-time
PR00104,Dermatology,C005,Full-time
PR00161,Oncology,C007,Rotating
PR00079,Psychiatry,C012,Full-time
PR00183,Psychiatry,C012,Full-time
PR00218,Urology,C011,Part-time
PR00091,Orthopedics,C003,Full-time
PR00077,Urology,C011,Full-time
PR00045,Cardiology,C002,Full-time
PR00138,Orthopedics,C003,Full-time
PR00061,Orthopedics,C003,Full-time
PR00156,Gastroenterology,C009,Rotating
PR00032,Pulmonology,C015,Full-time
PR00147,Dentistry,C004,Part-time
PR00084,Cardiology,C002,Full-time
PR00046,Family Medicine,C001,Full-time
PR00122,Dentistry,C004,Full-time
PR00137,Pulmonology,C015,Rotating
PR00184,Orthopedics,C003,Part-time
PR00118,Family Medicine,C001,Full-time
PR00020,Urology,C011,Full-time
PR00069,Urology,C011,Full-time
PR00149,Oncology,C007,Full-time
PR00070,Orthopedics,C003,Full-time
PR00018,Oncology,C007,Full-time
PR00092,Oncology,C007,Part-time
PR00012,Psychiatry,C012,Part-time
PR00093,Family Medicine,C001,Rotating
PR00125,Dermatology,C005,Part-time
PR00171,Cardiology,C002,Full-time
PR00088,Otolaryngology,C008,Full-time
PR00220,Pulmonology,C015,Full-time
PR00036,Gastroenterology,C009,Full-time
PR00041,Cardiology,C002,Full-time
PR00182,Urology,C011,Full-time
PR00154,Urology,C011,Full-time
PR00180,Psychiatry,C012,Full-time
PR00102,Otolaryngology,C008,Full-time
PR00007,Gastroenterology,C009,Full-time
PR00200,Psychiatry,C012,Full-time
PR00216,Pulmonology,C015,Part-time
PR00058,Dentistry,C004,Part-time
PR00101,Pulmonology,C015,Full-time
PR00124,Dentistry,C004,Part-time
PR00126,Cardiology,C002,Full-time
PR00202,Dentistry,C004,Full-time
PR00005,Dentistry,C004,Full-time
PR00121,Dentistry,C004,Full-time
PR00083,Urology,C011,Part-time
PR00193,Dermatology,C005,Full-time
PR00117,Ophthalmology,C013,Full-time
PR00037,Urology,C011,Full-time
PR00062,Oncology,C007,Full-time
PR00109,Ophthalmology,C013,Full-time
PR00038,Gastroenterology,C009,Part-time
PR00048,Otolaryngology,C008,Full-time
PR00027,Dentistry,C004,Part-time
PR00110,Psychiatry,C012,Full-time
PR00194,Dentistry,C004,Full-time
PR00108,Orthopedics,C003,Full-time
PR00013,Otolaryngology,C008,Rotating
PR00210,Family Medicine,C001,Part-time
PR00207,Orthopedics,C003,Rotating
PR00115,Urology,C011,Part-time
PR00195,Dentistry,C004,Part-time
PR00028,Otolaryngology,C008,Full-time
PR00167,Obstetrics & Gynecology,C014,Rotating
PR00189,Pulmonology,C015,Full-time
PR00021,Cardiology,C002,Rotating
PR00179,Orthopedics,C003,Full-time
PR00172,Dentistry,C004,Full-time
PR00187,Ophthalmology,C013,Full-time
PR00057,Orthopedics,C003,Part-time
PR00144,Pulmonology,C015,Full-time
PR00089,Obstetrics & Gynecology,C014,Full-time
PR00148,Dentistry,C004,Full-time
PR00123,Pulmonology,C015,Full-time
PR00080,Oncology,C007,Part-time
PR00213,Dentistry,C004,Full-time
PR00192,Dentistry,C004,Full-time
PR00006,Neurology,C006,Part-time
PR00026,Gastroenterology,C009,Full-time
PR00164,Ophthalmology,C013,Full-time
PR00212,Cardiology,C002,Full-time
PR00199,Dermatology,C005,Full-time
PR00111,Pulmonology,C015,Full-time
PR00049,Endocrinology,C010,Full-time
PR00209,Gastroenterology,C009,Part-time
PR00075,Urology,C011,Full-time
PR00015,Gastroenterology,C009,Full-time
PR00105,Psychiatry,C012,Full-time
PR00016,Oncology,C007,Full-time
PR00014,Dermatology,C005,Part-time
PR00127,Oncology,C007,Full-time
PR00011,Dentistry,C004,Full-time
PR00065,Dermatology,C005,Part-time
PR00198,Oncology,C007,Full-time
PR00024,Oncology,C007,Part-time
PR00219,Urology,C011,Full-time
PR00034,Dentistry,C004,Part-time
PR00066,Orthopedics,C003,Full-time
PR00129,Oncology,C007,Full-time
PR00151,Cardiology,C002,Full-time
PR00050,Orthopedics,C003,Part-time
PR00203,Pulmonology,C015,Full-time
PR00072,Dentistry,C004,Part-time
PR00002,Neurology,C006,Full-time
PR00186,Obstetrics & Gynecology,C014,Full-time
PR00043,Family Medicine,C001,Full-time
PR00165,Obstetrics & Gynecology,C014,Full-time
PR00039,Cardiology,C002,Part-time
PR00141,Psychiatry,C012,Full-time
PR00114,Dentistry,C004,Full-time
PR00001,Dermatology,C005,Part-time
PR00175,Orthopedics,C003,Full-time
PR00035,Pulmonology,C015,Full-time
PR00060,Ophthalmology,C013,Full-time
PR00152,Orthopedics,C003,Full-time
PR00214,Otolaryngology,C008,Part-time
