name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
APPOINTMENT_ID,VARCHAR(20),COLUMN,N,,Y,N,,,,,
PATIENT_ID,VARCHAR(20),COLUMN,Y,,N,N,,,,,
PROVIDER_ID,VARCHAR(20),COLUMN,Y,,N,N,,,,,
PROVIDER_CLINIC_ID,VARCHAR(20),COLUMN,Y,,N,N,,,,,
DATE_ID,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
APPOINTMENT_TIME,TIME(9),COLUMN,Y,,N,N,,,,,
LEAD_TIME_DAYS,"NUMBER(5,0)",COLUMN,Y,,N,N,,,,,
WAIT_TIME_MINUTES,"NUMBER(5,2)",COLUMN,Y,,N,N,,,,,
IS_NO_SHOW,"NUMBER(2,0)",COLUMN,Y,,N,N,,,,,
STATUS,VARCHAR(20),COLUMN,Y,,N,N,,,,,
